URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg0527.tlg048.opp-grc2	tlg0527.tlg048.opp-grc2	THE BOOK OF ISAIAH	R. R. OTTLEY, M.A.	R. R. OTTLEY, M.A.	C. J. Clay and Sons Cambridge University Press Warehouse Ave Maria Lane	1904
tlg0544.tlg001	tlg0544.tlg001.opp-grc1	SEXTI EMPIRICI OPERA	HERMANNUS MUTSCHMANN	HERMANNUS MUTSCHMANN	IN AEDIBUS B. G. TEUBNERI	MCMXII
tlg0544.tlg002	tlg0544.tlg002.opp-grc1	SEXTI EMPIRICI OPERA	HERMANNUS MUTSCHMANN	HERMANNUS MUTSCHMANN	IN AEDIBUS B. G. TEUBNERI	MCMXII
tlg0544.UNKNOWN-1	tlg0544.In fine codices (excepto Μ) addunt	SEXTI EMPIRICI OPERA	HERMANNUS MUTSCHMANN	HERMANNUS MUTSCHMANN	IN AEDIBUS B. G. TEUBNERI	MCMXII
tlg0544.UNKNOWN-2	tlg0544.Specimen Translationis latinae	SEXTI EMPIRICI OPERA	HERMANNUS MUTSCHMANN	HERMANNUS MUTSCHMANN	IN AEDIBUS B. G. TEUBNERI	MCMXII
tlg0615.tlg001	tlg0615.tlg001.opp-grc1	In Ethica Nicomachea quae supersunt commentaria	Aspasius	Gustavus Heylbut	Berolini: Typis et Impensis G. Reimeri	1889
tlg0732.tlg004.opp-grc1	tlg0732.tlg004.opp-grc1	In Aristotelis Metaphysica Commentaria	Alexander Aphrodisiensis	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1891
tlg0732.tlg005.opp-grc1	tlg0732.tlg005.opp-grc1	In Aristotelis analyticorum priorum librum I commentarium	Alexander Aphrodisiensis	Maximilianus Wallies	Berolini: Typis et Impensis G. Reimeri	1883
tlg0732.tlg006.opp-grc1	tlg0732.tlg006.opp-grc1	In Aristotelis topicorum libros octo commentaria	Alexander Aphrodisiensis	Maximilianus Wallies	Berolini: Typis et Impensis G. Reimeri	1891
tlg0732.tlg007.opp-grc1	tlg0732.tlg007.opp-grc1	In librum de sensu commentarium	Alexander Aphrodisiensis	Paulus Wendland	Berolini: Typis et Impensis G. Reimeri	1901
tlg0732.tlg008.opp-grc1	tlg0732.tlg008.opp-grc1	In Aristotelis metereologicorum libros commentarium	Alexander Aphrodisiensis	Michael Hayduck	Berolini: Typis et Impensis G. Reimeri	1899
tlg0732.tlgX01.opp-grc1	tlg0732.tlgX01.opp-grc1	Quod fertur in Aristotelis sophisticos elenchos commentarium	Alexander Aphrodisiensis	Maximilianus Wallies	Berolini: Typis et Impensis G. Reimeri	1898
tlg1551.tlg001	tlg1551.tlg001.opp-grc1	DIE ORACULA SIBYLLINA	DR. JOH. GEFFCHEN	DR. JOH. GEFFCHEN	J. C. HINRICHS'SCHE BECHHANDLUNG	1902
