URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:tlg4102.tlg022.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg023.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg024.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg034.opp-grc1	In Epistolas S. Pauli Ad Timotheum, Titum, Philemona, Et Ad Hebraeos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg035.opp-grc1	In Epistolas S. Pauli Ad Timotheum, Titum, Philemona, Et Ad Hebraeos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg036.opp-grc1	In Epistolas S. Pauli Ad Timotheum, Titum, Philemona, Et Ad Hebraeos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg037.opp-grc1	In Epistolas S. Pauli Ad Timotheum, Titum, Philemona, Et Ad Hebraeos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg038.opp-grc1	In Epistolas S. Pauli Ad Timotheum, Titum, Philemona, Et Ad Hebraeos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg040.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg041.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg042.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg043.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg044.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg045.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlg046.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlgX01.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlgX02.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4102.tlgX03.opp-grc1	Catenæ Græcorum Patrum In Novum Testamentum	J. A. Cramer, S.T.P.	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
urn:cts:greekLit:tlg4193.tlg012.opp-grc1	In Libros De Anima Paraphrasis	Sophonias	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1883-1884
urn:cts:greekLit:tlg9004.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Maximillanus Wallies	Maximillanus Wallies	Tyis Et Impensis Georgh Reimeri	MCMIX
urn:cts:greekLit:tlg9006.tlg011.opp-grc1	Orationes Xiii-Xxx	Libanius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
urn:cts:greekLit:tlg9019.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	Adolfus Busse	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MCM
